Archive ,Box ,Date ,Title ,Usable Plain Text? 
AN Paris ,AD XVIIIc,1788,Journees de la regiment de Lorraine ,No
SHD,GR XS 577,AN 12 ,Situation et movement de hopitaux militaires,No 
